see contaminationTypes.pptx for labeled photos,,,,,,,,,,,,,,
sample,date,density,strain,type,count1,r1,count2,r2,count3,r3,v1,v2,v3,rep
5,4/13/2016,LD,G3,I,45,5,,,,,50,,,2
5,4/13/2016,LD,110,III,,5,,,,,50,,,2
5,4/13/2016,HD,A3,I,110,5,,,,,50,,,1
5,4/13/2016,HD,A3,II,2,5,,,,,50,,,1
5,4/13/2016,HD,A4,I,73,5,,,,,50,,,1
5,4/13/2016,HD,B2,IV,16,5,,,,,50,,,1
5,4/13/2016,HD,B2,III,12,5,,,,,50,,,1
5,4/13/2016,HD,B2,V,1,5,,,,,50,,,1
5,4/13/2016,HD,C4,IV,10,5,,,,,50,,,1
5,4/13/2016,HD,C4,III,1,5,,,,,50,,,1
5,4/13/2016,HD,C4,V,12,5,,,,,50,,,1
5,4/13/2016,HD,E2,,,,,,,,,,,1
5,4/13/2016,HD,F2,,,,,,,,,,,1
5,4/13/2016,HD,F3,III,3,5,,,,,50,,,1
5,4/13/2016,HD,F3,IV,13,5,,,,,50,,,1
5,4/13/2016,HD,F5,IV,60,5,,,,,50,,,1
5,4/13/2016,HD,F5,II,4,5,,,,,50,,,1
5,4/13/2016,HD,G3,IV,39,5,,,,,50,,,1
5,4/13/2016,HD,G3,VI,43,5,,,,,50,,,1
5,4/13/2016,HD,110,II,5,5,,,,,50,,,1
5,4/13/2016,HD,110,I,3,5,,,,,50,,,1
5,4/13/2016,HD,110,IV,3,5,,,,,50,,,1
5,4/13/2016,HD,110,III,6,5,,,,,50,,,1
5,4/13/2016,HD,A3,II,24,5,,,,,50,,,2
5,4/13/2016,HD,A4,I,12,5,,,,,50,,,2
5,4/13/2016,HD,A4,III,1,5,,,,,50,,,2
5,4/13/2016,HD,A4,IV,37,5,,,,,50,,,2
5,4/13/2016,HD,B2,IV,25,5,,,,,50,,,2
5,4/13/2016,HD,B2,II,25,5,,,,,50,,,2
5,4/13/2016,HD,C4,,,,,,,,,,,2
5,4/13/2016,HD,E2,,,,,,,,,,,2
5,4/13/2016,HD,F2,,,,,,,,,,,2
5,4/13/2016,HD,F3,I,11,5,,,,,50,,,2
5,4/13/2016,HD,F3,III,5,5,,,,,50,,,2
5,4/13/2016,HD,F3,IV,48,5,,,,,50,,,2
5,4/13/2016,HD,F5,II,8,5,,,,,50,,,2
5,4/13/2016,HD,F5,III,3,5,,,,,50,,,2
5,4/13/2016,HD,F5,IV,71,5,,,,,50,,,2
5,4/13/2016,HD,G3,I,36,5,,,,,50,,,2
5,4/13/2016,HD,G3,II,3,5,,,,,50,,,2
5,4/13/2016,HD,110,II,6,5,,,,,50,,,2
5,4/13/2016,HD,110,III,2,5,,,,,50,,,2
6,7/20/2016,LD,A3,II,575,6,,,,,100,,,1
6,7/20/2016,LD,A4,II,115,5,,,,,100,,,1
6,7/20/2016,LD,B2,II,530,5,,,,,100,,,1
6,7/20/2016,LD,C4,I,1861,5,,,,,100,,,1
6,7/20/2016,LD,C4,V,73,5,,,,,100,,,1
6,7/20/2016,LD,E2,II,171,5,,,,,100,,,1
6,7/20/2016,LD,F2,I,,,,,,,100,,,1
6,7/20/2016,LD,F3,II,52,6,136,5,,,100,,,1
6,7/20/2016,LD,F5,I,71,6,,,,,100,,,1
6,7/20/2016,LD,G3,IV,231,6,,,,,100,,,1
6,7/20/2016,LD,110,,,,,,,,100,,,1
6,7/20/2016,LD,A3,II,3,5,,,,,100,,,2
6,7/20/2016,LD,A4,II,82,5,,,,,100,,,2
6,7/20/2016,LD,B2,IV,2900,6,,,,,100,,,2
6,7/20/2016,LD,C4,I,,,,,,,100,,,2
6,7/20/2016,LD,C4,V,559,5,,,,,100,,,2
6,7/20/2016,LD,E2,III,4,4,,,,,100,,,2
6,7/20/2016,LD,F2,I,1290,5,,,,,100,,,2
6,7/20/2016,LD,F3,III,95,5,,,,,100,,,2
6,7/20/2016,LD,F5,I,66,6,,,,,100,,,2
6,7/20/2016,LD,F5,V,11,5,,,,,100,,,2
6,7/20/2016,LD,G3,III,71,5,,,,,100,,,2
6,7/20/2016,LD,110,II,77,5,,,,,100,,,2
